0	 43
0	 36
0	 49
0	 6
0	 7
0	 8
0	 39
0	 12
0	 14
0	 47
0	 40
0	 19
0	 46
0	 23
0	 26
0	 31
1	 34
1	 35
1	 6
1	 7
1	 8
1	 9
1	 44
1	 13
1	 47
1	 15
1	 18
1	 21
1	 24
1	 25
1	 27
1	 30
2	 16
2	 32
2	 42
2	 20
2	 22
2	 6
2	 7
2	 10
2	 23
2	 29
3	 17
3	 19
3	 6
3	 49
3	 31
3	 41
3	 11
3	 29
3	 13
3	 15
4	 38
4	 6
4	 7
4	 8
4	 9
4	 10
4	 43
4	 12
4	 13
4	 14
4	 24
4	 25
4	 27
4	 28
5	 32
5	 33
5	 36
5	 6
5	 7
5	 8
5	 9
5	 10
5	 11
5	 46
5	 16
5	 18
5	 48
5	 21
5	 41
6	 7
6	 8
6	 9
6	 10
6	 11
6	 12
6	 15
6	 18
6	 22
6	 23
6	 24
6	 25
6	 26
6	 29
6	 31
6	 32
6	 33
6	 34
6	 35
6	 36
6	 37
6	 39
6	 40
6	 43
6	 46
6	 47
6	 48
7	 8
7	 9
7	 10
7	 11
7	 12
7	 13
7	 14
7	 15
7	 16
7	 17
7	 19
7	 20
7	 21
7	 22
7	 26
7	 27
7	 29
7	 31
7	 34
7	 37
7	 38
7	 40
7	 41
7	 42
7	 45
7	 49
8	 42
8	 11
8	 12
8	 13
8	 15
8	 49
8	 20
8	 39
8	 29
8	 31
9	 14
9	 15
9	 16
9	 17
9	 19
9	 21
9	 23
9	 25
9	 26
9	 30
9	 34
9	 35
9	 38
9	 40
9	 41
9	 43
9	 46
10	 33
10	 44
10	 48
10	 11
10	 12
10	 13
10	 14
10	 16
10	 17
10	 21
10	 22
10	 46
10	 25
10	 27
10	 28
10	 37
11	 33
11	 36
11	 39
11	 45
11	 17
11	 18
11	 35
11	 20
11	 23
11	 24
11	 40
11	 37
11	 30
11	 31
12	 44
12	 14
12	 47
12	 48
12	 19
12	 21
12	 26
12	 28
12	 30
13	 32
13	 33
13	 17
13	 18
13	 19
13	 20
13	 49
13	 27
13	 28
13	 30
14	 16
15	 48
15	 34
15	 25
15	 30
15	 24
16	 22
16	 23
16	 18
16	 29
17	 20
17	 37
17	 28
17	 45
18	 34
18	 35
18	 33
18	 24
18	 27
18	 28
20	 22
20	 39
21	 48
21	 35
21	 38
21	 49
21	 44
22	 32
22	 41
23	 43
23	 26
23	 45
24	 36
27	 38
29	 41
30	 46
31	 39
32	 42
33	 42
33	 36
34	 40
35	 38
35	 37
38	 43
38	 44
38	 45
39	 44
40	 45
44	 47
46	 47

